name,address,note,phone,lanLng
伊甸動物醫院,台北市中山區北安路554巷33號1樓,https://eden-vet.com ,9PM後，須先以電話聯絡,"(25.080186, 121.5495754)"
太僕動物醫院（龍江院）,台北市中山區龍江路260號,https://www.topvet.topet.net ,9PM後，須先以電話聯絡,"(25.0600094, 121.5405291)"
杜克動物醫院,台北市大安區和平東路三段117號,Facebook ,12AM後，須先以電話聯絡,"(25.0245417, 121.5514283)"
王樣動物醫院,台北市大安區金華街217號,Facebook ,須先以電話聯絡,"(25.029917, 121.528995)"
慈愛動物醫院（台北總院）,台北市大同區寧夏路1號,https://www.lkah.com.tw/ ,,"(25.0542156, 121.5149476)"
全民動物醫院,台北市大同區民生西路249號,https://www.formosavetcenter.com ,,"(25.0571799, 121.5146794)"
展望動物醫院,台北市萬華區中華路二段二號,https://www.prospect-vet.com ,,"(25.0287057, 121.5052712)"
全國動物醫院（台北分院）,台北市內湖區舊宗路一段30巷13號,https://www.vet.com.tw ,,"(25.0577388, 121.5802343)"
太僕動物醫院(南京院),台北市松山區南京東路五段286號,http://topvet.topet.net/ ,9PM後，須先以電話聯絡,"(25.0510364, 121.5671031)"
興泰動物醫院,台北市松山區延吉街57號,http://www.stah.com.tw ,,"(25.0449721, 121.5538535)"
大群動物醫院,台北市文山區羅斯福路六段206號,https://dacyun-vet.tw ,,"(24.9936051, 121.5407931)"
布達羊急診動物醫院,台北市士林區忠誠路一段102號,http://www.boulderyard24.com ,為犬、貓、鼠、兔服務 ,"(25.1053842, 121.5282977)"
阿牛犬貓急診醫院,台北市士林區基河路238號1樓,https://anewanimalhospital.webnode.tw ,10PM後，週日5PM後，須先以電話聯絡,"(25.0911191, 121.5214287)"
藍天家畜醫院,台北市士林區文林路759號,Facebook Page ,9PM後，須先以電話聯絡 週日休息 & 服務對象：犬、貓、鳥、兔、魚 ,"(25.103274, 121.519365)"
大安動物醫院,台北市中正區羅斯福路四段162號1樓,https://daan-vet.com ,,"(25.0123936, 121.5361745)"
翔心動物醫院,新北市板橋區忠孝路203號,https://www.hsianghsin.tw ,9PM後，須先以電話聯絡,"(25.0027793, 121.4652805)"
牧村動物醫院,新北市板橋區中山路二段28號,Facebook Page ,8PM後，須先以電話聯絡 & 週日休息,"(25.0150678, 121.4727188)"
中日動物醫院,新北市中和區中山路三段2號,http://www.unitevet.com ,,"(25.0062233, 121.4798046)"
亞東動物醫院,新北市中和區中正路639號2樓,https://vet639.url.tw/ ,須先以電話聯絡 服務對象：犬、貓、鼠、兔、鳥、龜 ,"(24.995565, 121.485059)"
樂活動物醫院,新北市永和區中興街107號,Facebook Page,9PM-2AM，須先以電話聯絡 週日休,"(25.0121862, 121.5180885)"
品湛動物醫院,桃園市桃園區民生路495-9號,https://www.ghanimalcasa.com ,2AM後，須先以電話聯絡,"(25.0027364, 121.3093662)"
元氣動物醫院（三民總院）,桃園市桃園區三民路三段381號,http://www.genkivet.com.tw ,,"(24.9899693, 121.307013)"
元氣動物醫院（藝文分院）,桃園市桃園區莊敬路一段156號,http://www.genkivet.com.tw ,服務對象：犬、貓、鼠、兔,"(25.0255521, 121.3002566)"
磨鼻子動物醫院,桃園市中壢區延平路20號,Facebook Page ,,"(24.9638073, 121.2331266)"
築心動物醫院,新竹市東區經國路一段654號,http://www.zhuxin.com.tw/ ,9PM～2AM 提供急診服務,"(24.8145088, 120.9744711)"
大福小幸動物醫院,新竹市香山區經國路三段92巷6號,Facebook ,須先以電話聯絡 服務對象：犬貓、鼠兔、蜜袋鼯、鳥、爬蟲等 ,"(24.798127, 120.95258)"
全國動物醫院（台中總院）,台中市西區五權八街100號,https://www.vet.com.tw ,,"(24.1340956, 120.6624304)"
羅大宇動物醫院,台中市西區存中街153號號,Facebook Page ,服務時間： 9:30PM 到 11PM,"(24.1411981, 120.6569647)"
格林威治動物醫院,台中市南屯區文心路一段486號,Facebook ,,"(24.1520315, 120.6470502)"
康德動物醫院,台中市北屯區崇德路二段270號,Facebook Page ,24小時急診 & 須先以電話聯絡  服務對象：犬、貓、鼠、兔 ,"(24.175348, 120.6859193)"
沐恩動物醫院,台中市北區健行路865號,Facebook ,須先以電話聯絡 & 週日休息,"(24.159047, 120.6694723)"
慈愛動物醫院-台中總院,台中市大里區國光路二段539號,Facebook Page ,,"(24.1117741, 120.6788988)"
忠愛動物醫院,彰化縣員林市中山路二段490號,https://www.chungai.com.tw/main/View_Service.aspx ,須先以電話聯絡,"(23.9714398, 120.5714543)"
和牧動物醫院,雲林縣虎尾鎮光復路454號,Facebook ,須先以電話聯絡 & 週日休息,"(23.7109443, 120.4344367)"
全國動物醫院（台南分院）,台南市東區崇德路620號2樓,https://www.vet.com.tw ,,"(22.9706936, 120.2273543)"
諾亞動物醫院,台南市中西區成功路297號,http://www.ky-animal.com.tw/ ,須先以電話聯絡 & 週日休息,"(22.9995962, 120.2009944)"
慈愛動物醫院（台南總院）,台南市南區西門路一段473號,https://www.lkah.com.tw ,,"(22.9820613, 120.1974914)"
聯盟動物醫院（仁武總院）,高雄市仁武區鳳仁路231號E棟,https://www.pet100pa.com/vet ,9PM 到 2AM 提供急診服務 & 服務對象：犬貓、鼠兔、刺蝟、蜜袋鼯、鳥、鸚鵡、爬蟲等 ,"(22.6979627, 120.3465459)"
宏力動物醫院,高雄市三民區明誠一路326號,https://www.hunglivet.com/ ,,"(22.659977, 120.324799)"
中興梅西動物醫療中心,高雄市左營區文府路498號,http://www.jsah.com.tw/ ,9PM 到 2AM 提供急診服務 ,"(22.6913366, 120.3167105)"
烏鐸動物醫院,高雄市苓雅區中正一路139號,https://udochah.wixsite.com/udoch ,夜間急診請按“急診鈴”,"(22.628337, 120.330864)"
冠安動物醫院,高雄市苓雅區中正二路131-1號,,9:30PM後，週日5:30PM後，須先以電話聯絡,"(22.630227, 120.315545)"
希望動物醫院,高雄市鳳山區凱旋路100號,Facebook ,須先以電話聯絡,"(22.6074945, 120.3588147)"
名仁動物醫院,屏東縣屏東市仁愛路7號,Facebook ,須先以電話聯絡,"(22.6680245, 120.4910189)"
上海動物醫院,花蓮縣花蓮市上海街63號,,須先以電話聯絡,"(23.9729448, 121.6021628)"
