Clinic name,Address,Note,Phone number,latitude & longitude
Eden Animal Hospital,"1F., No.33, Beian Rd, Lane 554, Zhongshan District, Taipei City",Call after 9PM,02-8509-2579,
Top Veterinary Hospital,"No. 260, Long Jiang Rd, Zhongshan District, Taipei City",Call after 9PM,09-28242358 or 02-2517-0902 ,
Duke Veterinary Clinic,"No. 117, Sec. 3, Heping E. Rd., Da’an Dist., Taipei City",Call after 12AM,02-8732-4789,
Loving Kindness Animal Hospital,"No.1, Ningxia Rd, Datong District, Taipei City",,02-2556-3320,
Formosa Vet Center,"1F., No. 247, Minsheng W. Rd., Datong Dist., Taipei City",,02-2553-0371 or 02-2553-0303 ,
Prospect Vet Emergency Critical Center,"No.2, Section 2, Zhonghua Rd, Wanhua District, Taipei City",,02-2388-0122,
National Veterinary Hospital(Taipei Branch),"No. 13, Lane 30, Section 1, Jiuzong Rd, Neihu District, Taipei City",,02-8791-8706,
Top Veterinary Hospital(Nanjing branch),"No. 286, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City",Call After 9 PM,02-2756-2005,
Xintai Animal Hospital,"1F., No. 57, Yanji St., Songshan Dist., Taipei City",,02-2579-5722,
Dacyun Veterinarian 24hr Animal Emergency Hospital,"No. 206, Section 6, Roosevelt Rd, Wenshan District, Taipei City",,02-2930-5557,
Boulder Yard Animal Hospital,"No. 102, Section 1, Zhongcheng Rd, Shilin District, Taipei City","Provide service for dogs, cats, rodents, and rabbits ",02-2834-1119,
Anew Animal Hospital,"1F., No. 238, Jihe Rd., Shilin Dist., Taipei City",Call After 10PM & Sunday After 5PM,02-2881-0478,
Blue Sky Animal Hospital,"No. 757, Wenlin Rd, Shilin District, Taipei City","Call After 9PM & Sunday Off  Provide service for dogs, cats, birds, fish, and rabbits ",02-2838-0088,
Daan Animal Hospital,"1F., No. 162, Sec. 4, Roosevelt Rd., Zhongzheng Dist., Taipei City",,02-2363-2020,
Hsiang Hsin Animal Hospital,"No. 203, Zhongxiao Rd., Banqiao Dist., New Taipei City",Call after 9PM,02-2956-9099,
Mutsun Animal Hospital,"No. 28, Section 2, Zhongshan Rd, Banqiao District, New Taipei City",Call after 8PM,02-8951-1172 ,
Chung Ri Animal Hospital,"No. 2, Section 3, Zhongshan Rd, Zhonghe District, New Taipei City",,02-2226-3639,
Le Huo Animal Hospital,"No. 21, Lane 66, Zhulin Rd, Yonghe District, New Taipei City","Call between 9PM to 2AM, Sunday Off",02-2922-5805,
Elite Animal Hospital,"No. 495-9, Minsheng Rd, Taoyuan District, Taoyuan City",Call After 2AM,03-336-3252,
Genki Veterinary Hospital(Sanmin Branch),"No. 381, Section 3, Sanmin Rd, Taoyuan District, Taoyuan City",,03-333-3816,
Genki Veterinary Hospital(Yiwen Branch),"No. 156, Section 1, Zhuangjing Rd, Taoyuan District, Taoyuan City","Provide service for dogs, cats, rodents, and rabbits",03-355-3911,
Bisous Animal Hospital,"No. 20, Yanping Rd., Zhongli Dist., Taoyuan City",,03-453-5740,
Zhu Xin Animal Hospital,"No. 654, Section 1, Jingguo Rd, East District, Hsinchu City",Provide Service from 9PM to 2AM,03-533-8055,
National Veterinary Hospital(Taichung Main Branch),"No. 100, Wuquan 8th St., West Dist., Taichung City",,04-2371-0496,
Gleam ways Animal Hospital,"No. 486, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City",,04-2320-2279,
Kant Animal Hospital,"No. 270, Section 2, Chongde Rd, Beitun District, Taichung City","Call before going & Provide service for dogs, cats, rodents, and rabbits ",04-2241-2700,
Loving Kindness Animal Hospital(Taichung Main branch),"No. 539, Sec. 2, Guoguang Rd., Dali Dist., Taichung City",,04-2406-6688,
National Veterinary Hospital(Tainan Branch),"2F., No. 620, Chongde Rd., East Dist., Tainan City",,06-267-3191,
Loving Kindness Animal Hospital(Tainan Branch),"No. 437, Sec. 1, Ximen Rd., South Dist., Tainan City",,06-220-3166,
Alliance Veterinary Hospital(Renwu Main Branch),"No. 231, Fengren Rd., Renwu Dist., Kaohsiung City","Emergency service from 9PM to 2AM & Provide service for dogs, cats, rodents, rabbits, hedgehogs, sugar gliders, birds, parrots and reptiles ",07-374-0964 #20,
Hung Li Animal Hospital,"No. 326, Mingcheng 1st Rd, Sanmin District, Kaohsiung City",,07-310-2819,
Jong-Shing Animal Hospital,"No. 498, Wenfu Rd, Zuoying District, Kaohsiung City",Provide emergency service from 9:30PM to 2AM ,07-350-2020#431,
Udoch Animal Hospital,"No. 139, Zhongzheng 1st Rd, Lingya District, Kaohsiung City",Press the emergency bell at the door if service needed,07-722-0804,
GuanAn Animal Hospital,"No. 131-1, Zhongzheng 2nd Rd, Lingya District, Kaohsiung City","Call after 9:30PM, Sunday after 5:30PM",07-223-6451,
