name,address,note,phone,lanLng
伊甸動物醫院,台北市中山區北安路554巷33號1樓,9PM後，須先以電話聯絡,02-8509-2579,"(25.080186, 121.5495754)"
太僕動物醫院（龍江院）,台北市中山區龍江路260號,9PM後，須先以電話聯絡,09-28242358 or 02-2517-0902 ,"(25.0600094, 121.5405291)"
杜克動物醫院,台北市大安區和平東路三段117號,12AM後，須先以電話聯絡,02-8732-4789,"(25.0245417, 121.5514283)"
慈愛動物醫院（台北總院）,台北市大同區寧夏路1號,,02-2556-3320,"(25.0542156, 121.5149476)"
全民動物醫院,台北市大同區民生西路249號,,02-2553-0371 or 02-2553-0303 ,"(25.0571799, 121.5146794)"
展望動物醫院,台北市萬華區中華路二段二號,,02-2388-0122,"(25.0287057, 121.5052712)"
全國動物醫院（台北分院）,台北市內湖區舊宗路一段30巷13號,,02-8791-8706,"(25.0577388, 121.5802343)"
太僕動物醫院(南京院),台北市松山區南京東路五段286號,9PM後，須先以電話聯絡,02-2756-2005,"(25.0510364, 121.5671031)"
興泰動物醫院,台北市松山區延吉街57號,,02-2579-5722,"(25.0449721, 121.5538535)"
大群動物醫院,台北市文山區羅斯福路六段206號,,02-2930-5557,"(24.9936051, 121.5407931)"
布達羊急診動物醫院,台北市士林區忠誠路一段102號,為犬、貓、鼠、兔服務 ,02-2834-1119,"(25.1053842, 121.5282977)"
阿牛犬貓急診醫院,台北市士林區基河路238號1樓,10PM後，週日5PM後，須先以電話聯絡,02-2881-0478,"(25.0911191, 121.5214287)"
藍天家畜醫院,台北市士林區文林路759號,9PM後，須先以電話聯絡 週日休息 & 服務對象：犬、貓、鳥、兔、魚 ,02-2838-0088,"(25.103274, 121.519365)"
大安動物醫院,台北市中正區羅斯福路四段162號1樓,,02-2363-2020,"(25.0123936, 121.5361745)"
翔心動物醫院,新北市板橋區忠孝路203號,9PM後，須先以電話聯絡,02-2956-9099,"(25.0027793, 121.4652805)"
牧村動物醫院,新北市板橋區中山路二段28號,8PM後，須先以電話聯絡 & 週日休息,02-8951-1172 ,"(25.0150678, 121.4727188)"
中日動物醫院,新北市中和區中山路三段2號,,02-2226-3639,"(25.0062233, 121.4798046)"
樂活動物醫院,新北市永和區中興街107號,9PM-2AM，須先以電話聯絡 週日休,02-2922-5805,"(25.0121862, 121.5180885)"
品湛動物醫院,桃園市桃園區民生路495-9號,2AM後，須先以電話聯絡,03-336-3252,"(25.0027364, 121.3093662)"
元氣動物醫院（三民總院）,桃園市桃園區三民路三段381號,,03-333-3816,"(24.9899693, 121.307013)"
元氣動物醫院（藝文分院）,桃園市桃園區莊敬路一段156號,服務對象：犬、貓、鼠、兔,03-355-3911,"(25.0255521, 121.3002566)"
磨鼻子動物醫院,桃園市中壢區延平路20號,,03-453-5740,"(24.9638073, 121.2331266)"
築心動物醫院,新竹市東區經國路一段654號,9PM～2AM 提供急診服務,03-533-8055,"(24.8145088, 120.9744711)"
全國動物醫院（台中總院）,台中市西區五權八街100號,,04-2371-0496,"(24.1340956, 120.6624304)"
格林威治動物醫院,台中市南屯區文心路一段486號,,04-2320-2279,"(24.1520315, 120.6470502)"
康德動物醫院,台中市北屯區崇德路二段270號,24小時急診 & 須先以電話聯絡  服務對象：犬、貓、鼠、兔 ,04-2241-2700,"(24.175348, 120.6859193)"
慈愛動物醫院-台中總院,台中市大里區國光路二段539號,,04-2406-6688,"(24.1117741, 120.6788988)"
全國動物醫院（台南分院）,台南市東區崇德路620號2樓,,06-267-3191,"(22.9706936, 120.2273543)"
慈愛動物醫院（台南總院）,台南市南區西門路一段473號,,06-220-3166,"(22.9820613, 120.1974914)"
聯盟動物醫院（仁武總院）,高雄市仁武區鳳仁路231號E棟,9PM 到 2AM 提供急診服務 & 服務對象：犬貓、鼠兔、刺蝟、蜜袋鼯、鳥、鸚鵡、爬蟲等 ,07-374-0964 #20,"(22.6979627, 120.3465459)"
宏力動物醫院,高雄市三民區明誠一路326號,,07-310-2819,"(22.659977, 120.324799)"
中興梅西動物醫療中心,高雄市左營區文府路498號,9PM 到 2AM 提供急診服務 ,07-350-2020#431,"(22.6913366, 120.3167105)"
烏鐸動物醫院,高雄市苓雅區中正一路139號,夜間急診請按“急診鈴”,07-722-0804,"(22.628337, 120.330864)"
冠安動物醫院,高雄市苓雅區中正二路131-1號,9:30PM後，週日5:30PM後，須先以電話聯絡,07-223-6451,"(22.630227, 120.315545)"
